日期,计划购电量(kWh),计划购电费(元),紧急购电量(kWh),紧急购电费(元),总购电费(元),计划弃光量(kWh),真实弃光量(kWh),安全裕度合计(kWh),0:00储电量(kWh),24:00储电量(kWh),负荷预测MAE(kW),光伏预测MAE(kW)
2025-02-03,91892.317673,57687.372636,700.045973,3800.236199,61487.608835,0.000000,7657.113813,15987.882347,8550.000000,8550.000000,474.251913,92.843852
2025-02-04,94865.647984,60122.335316,217.087881,1097.367913,61219.703230,0.000000,9140.846014,15987.882347,8550.000000,8550.000000,330.036860,78.318752
2025-02-05,95754.375969,60894.880311,88.695579,385.241604,61280.121915,0.000000,10345.578262,15763.711575,8550.000000,8550.000000,292.519777,96.489720
2025-02-06,95324.628228,60514.296910,190.641815,889.653601,61403.950510,0.000000,10491.843892,15763.711575,8550.000000,8550.000000,361.505093,77.765664
2025-02-07,78036.579348,46975.565497,0.000000,0.000000,46975.565497,0.000000,41815.644401,15544.483021,8550.000000,8550.000000,949.647309,185.564705
2025-02-08,73448.602336,43532.667452,0.000000,0.000000,43532.667452,0.000000,37464.573068,15266.541485,8550.000000,8550.000000,817.463120,122.482428
2025-02-09,89376.516751,55977.567964,883.723689,3747.116679,59724.684643,0.000000,5986.491141,14997.384789,8550.000000,8550.000000,441.107390,115.623281
2025-02-10,84214.453133,51890.259171,1725.964549,8798.280228,60688.539399,0.000000,6978.135883,14997.384789,8550.000000,8550.000000,633.818836,220.374607
2025-02-11,89951.511515,56523.645367,303.920836,1825.478581,58349.123948,0.000000,10324.586234,14951.512899,8550.000000,8550.000000,401.543909,158.350258
2025-02-12,88927.255829,55730.199245,419.134834,2264.991242,57995.190487,0.000000,9392.936239,14951.512899,8550.000000,8550.000000,419.152616,137.834505
2025-02-13,89469.000521,56323.183076,250.374521,1181.088965,57504.272041,0.000000,13704.635791,13965.893908,8550.000000,8550.000000,370.053572,295.406836
2025-02-14,68211.276761,40074.501202,0.000000,0.000000,40074.501202,0.000000,34076.036754,13158.513846,8550.000000,8550.000000,783.458642,150.180302
2025-02-15,65005.268640,37742.308662,22.307875,47.694238,37790.002900,0.000000,31543.112420,13128.367711,8550.000000,8550.000000,670.730156,119.839589
2025-02-16,90304.397679,57427.308495,305.605235,1196.638425,58623.946921,0.000000,10556.255759,13128.367711,8550.000000,8550.000000,208.274204,145.881241
2025-02-17,89567.122586,56867.731626,178.953894,735.930264,57603.661890,0.000000,13918.634287,12328.938327,8550.000000,8550.000000,176.998846,209.481360
2025-02-18,89163.537037,56565.189837,218.254883,1116.407840,57681.597677,0.000000,12645.962718,12328.938327,8550.000000,8550.000000,218.473858,201.285118
2025-02-19,88520.393649,56095.748901,330.773042,1166.392259,57262.141159,0.000000,11347.117174,11614.053332,8550.000000,8550.000000,195.139445,140.792257
2025-02-20,87797.511693,55523.222172,279.633246,1042.179231,56565.401402,0.000000,12471.461667,10988.791804,8550.000000,8550.000000,173.919652,181.036538
2025-02-21,53770.044302,30050.275711,0.000000,0.000000,30050.275711,0.000000,24151.595458,10102.572429,8550.000000,8550.000000,426.686726,158.689233
2025-02-22,54198.632771,30467.385348,72.567161,155.148590,30622.533938,0.000000,22368.389671,10102.572429,8550.000000,8550.000000,448.691088,87.307716
2025-02-23,85982.158417,54140.604472,395.579019,1105.996033,55246.600505,0.000000,10353.944524,10105.380175,8550.000000,8550.000000,175.383255,161.809748
2025-02-24,85341.725267,53639.435971,121.084501,461.888925,54101.324896,0.000000,12817.572466,10105.380175,8550.000000,8550.000000,172.261876,229.631997
2025-02-25,83510.916816,52368.390192,215.144919,894.955123,53263.345315,0.000000,13484.771524,9257.114815,8550.000000,8550.000000,170.523310,308.149230
2025-02-26,82586.601131,51736.788910,148.812795,554.447347,52291.236258,0.000000,9514.393479,8488.910702,8550.000000,8550.000000,150.755074,148.444810
2025-02-27,81433.844407,50925.074004,135.399184,770.911684,51695.985688,0.000000,10184.280868,7676.839264,8550.000000,8550.000000,141.256062,187.016395
2025-02-28,49630.398663,27810.212209,0.000000,0.000000,27810.212209,0.000000,22284.471780,7676.839264,8550.000000,8550.000000,474.497820,157.866879
2025-03-01,47216.181451,26364.755438,2.249103,4.808582,26369.564020,0.000000,19582.324932,7676.839264,8550.000000,8550.000000,533.685501,126.323226
2025-03-02,79932.913632,49711.693770,3174.862224,11730.207574,61441.901343,0.000000,6320.289998,7676.839264,8550.000000,8550.000000,164.180261,231.881956
2025-03-03,78678.655738,48814.720042,2217.333147,8830.410036,57645.130077,0.000000,4440.933243,7228.991068,8550.000000,8550.000000,176.357950,168.161362
2025-03-04,78135.587296,48484.024175,720.811326,1946.365131,50430.389306,0.000000,5218.013854,6944.937297,8550.000000,8550.000000,139.764198,93.282671
2025-03-05,79174.507832,49233.708946,229.589602,892.059534,50125.768480,0.000000,8846.194779,7054.930905,8550.000000,8550.000000,130.180261,153.987299
2025-03-06,78206.910369,48732.011755,120.675892,384.341453,49116.353208,0.000000,8626.036537,7054.930905,8550.000000,7950.000000,143.662416,117.025784
2025-03-07,44546.715474,25143.724548,0.000000,0.000000,25143.724548,0.000000,19904.037700,6629.534835,7950.000000,7950.000000,510.609443,112.552694
2025-03-08,45776.279105,25832.120630,6.525873,13.952317,25846.072948,0.000000,22343.064127,6629.534835,7950.000000,8550.000000,493.653928,162.728937
2025-03-09,76187.956955,46946.512897,159.884602,727.953400,47674.466297,0.000000,8577.061896,6632.458274,8550.000000,8550.000000,164.427022,202.760682
2025-03-10,75136.995499,46317.002277,2062.217248,5903.801896,52220.804172,0.000000,4791.169231,6070.193723,8550.000000,8550.000000,166.210210,144.751482
2025-03-11,74542.340021,45778.520038,226.852730,834.158220,46612.678259,0.000000,6535.364093,5770.836281,8550.000000,8550.000000,143.564771,139.856996
2025-03-12,74798.500340,45987.736834,223.053134,757.382407,46745.119241,0.000000,8280.671430,5770.836281,8550.000000,8550.000000,143.688093,205.586164
2025-03-13,72268.440570,44601.097177,2846.607646,10181.861979,54782.959155,0.000000,4561.445708,5522.900603,8550.000000,7465.322757,176.644834,214.440023
2025-03-14,42160.247980,24026.300909,0.000000,0.000000,24026.300909,489.778240,22915.229968,5522.900603,7465.322757,7167.858044,508.239802,207.760922
2025-03-15,42239.593719,23693.741323,241.696159,537.722396,24231.463719,2002.316146,16607.901369,5522.900603,7167.858044,8550.000000,392.735099,193.988723
2025-03-16,71276.353083,43465.814967,969.960871,3578.179384,47043.994352,0.000000,4692.994872,5595.875893,8550.000000,8550.000000,199.991684,143.691120
2025-03-17,71677.057028,43501.502270,170.728556,714.593652,44216.095922,0.000000,9773.835994,5044.733024,8550.000000,8550.000000,176.924945,328.274816
2025-03-18,70444.157797,42608.634749,474.386355,2178.783898,44787.418647,0.000000,5599.345144,5044.733024,8550.000000,8550.000000,178.268341,157.932514
2025-03-19,69335.847907,41892.761238,208.475689,780.660672,42673.421910,0.000000,5929.272457,4488.741121,8550.000000,8550.000000,158.447447,196.728331
2025-03-20,66357.348015,40448.394713,846.520821,3320.816917,43769.211630,0.000000,3249.776989,4488.741121,8550.000000,6381.202558,218.620690,114.013173
2025-03-21,38150.114316,21257.023592,0.000000,0.000000,21257.023592,3138.063777,23256.658533,4239.641350,6381.202558,6001.012375,383.140119,279.428237
2025-03-22,40649.742395,22193.804623,47.424648,101.393898,22295.198520,3515.891392,18789.479608,4239.641350,6001.012375,8550.000000,384.398843,109.928058
2025-03-23,67191.288872,40488.364738,938.492697,3640.598649,44128.963388,0.000000,5231.453848,4243.515792,8550.000000,8550.000000,207.844996,220.607830
2025-03-24,67095.884662,40341.805840,503.961345,1653.042759,41994.848600,0.000000,5472.981206,4243.515792,8550.000000,8550.000000,218.365879,231.775817
2025-03-25,65298.742884,39126.331784,2299.420338,9286.435089,48412.766874,0.000000,2538.558840,3792.806798,8550.000000,8550.000000,234.486848,160.759786
2025-03-26,64833.996576,38806.546118,565.859916,2131.865468,40938.411586,0.000000,5705.150469,3792.806798,8550.000000,8550.000000,235.389204,277.519240
2025-03-27,61029.462147,37032.508074,1591.572517,6172.608997,43205.117072,0.000000,2958.724770,3529.807334,8550.000000,5718.440183,231.322819,135.804789
2025-03-28,36362.196084,20022.634562,0.000000,0.000000,20022.634562,5887.261789,22663.242648,3620.708408,5718.440183,5504.657307,397.357263,164.867483
2025-03-29,39308.460172,21078.415880,29.254277,62.545644,21140.961523,6280.689187,25170.512962,3620.708408,5504.657307,8550.000000,328.925393,313.707212
2025-03-30,63145.784366,37685.005438,905.739060,3344.285482,41029.290920,0.000000,4627.515085,3620.708408,8550.000000,8550.000000,234.731090,234.562985
2025-03-31,62339.860682,37147.629290,2093.599534,8564.713527,45712.342817,0.000000,3406.203550,3345.525553,8550.000000,8550.000000,191.413105,175.958454
2025-04-01,61528.112751,36569.149069,4573.775852,14996.713571,51565.862641,0.000000,1823.932450,3345.525553,8550.000000,8550.000000,243.128806,217.252740
2025-04-02,62635.148141,37298.871945,4072.676020,16516.179275,53815.051220,0.000000,2203.019914,3802.511871,8550.000000,8550.000000,190.444439,254.586369
2025-04-03,60306.811107,36544.813051,869.184166,3695.643450,40240.456501,0.000000,4899.152187,4232.300947,8550.000000,5248.724529,195.309389,186.601053
2025-04-04,35613.855870,19472.852819,0.000000,0.000000,19472.852819,6613.086320,26266.811682,4311.776414,5248.724529,5158.957223,389.560167,250.349445
2025-04-05,40318.105626,21711.716238,34.041908,72.781600,21784.497838,5548.094924,21496.604861,4311.776414,5158.957223,8550.000000,397.861003,152.832373
2025-04-06,62599.010964,37232.772902,381.617674,1642.377142,38875.150044,0.000000,4497.306927,4311.776414,8550.000000,8550.000000,178.173545,143.882093
2025-04-07,62468.324143,37079.119919,433.113643,1506.126712,38585.246631,0.000000,5586.635255,4311.776414,8550.000000,8550.000000,181.901906,230.972405
2025-04-08,62563.551176,37057.420830,944.633970,4178.796304,41236.217134,0.000000,5117.626472,4451.348183,8550.000000,8550.000000,191.855896,174.657588
2025-04-09,62497.132374,37124.653329,2575.394074,9737.950359,46862.603688,0.000000,1894.376014,4549.072432,8550.000000,8550.000000,174.138619,157.740850
2025-04-10,58771.351882,35616.501152,1083.265687,4819.029308,40435.530460,0.000000,5355.175683,4921.035055,8550.000000,4956.021507,176.725824,161.410585
2025-04-11,35904.641551,19743.383980,0.000000,0.000000,19743.383980,6183.473635,27771.526160,4921.035055,4956.021507,4790.046688,428.364912,269.627573
2025-04-12,39675.049956,21196.126035,37.270003,79.683267,21275.809302,6962.046870,23574.923506,4921.035055,4790.046688,8550.000000,402.936382,171.891711
2025-04-13,60841.486840,36186.684063,919.686802,3939.958469,40126.642532,0.000000,3546.416145,4921.035055,8550.000000,8550.000000,197.021516,121.308991
2025-04-14,60618.066490,36033.869416,660.895636,2366.355854,38400.225270,0.000000,4850.693836,4829.839164,8550.000000,8550.000000,187.375372,158.303867
2025-04-15,60762.596736,36191.808320,638.766511,2818.547774,39010.356094,0.000000,7336.168221,4492.891424,8550.000000,8550.000000,163.675682,244.118935
2025-04-16,60742.438855,36155.947510,1693.714883,6163.583002,42319.530512,0.000000,2767.225061,4267.393294,8550.000000,8550.000000,153.167969,112.343159
2025-04-17,55201.117914,33770.986307,841.624126,3484.190586,37255.176894,0.000000,3830.386435,4267.393294,8550.000000,4469.345065,170.744623,137.858513
2025-04-18,35363.919709,19369.235978,0.000000,0.000000,19369.235978,8722.111011,25914.661812,4453.224069,4469.345065,4636.081321,463.200042,131.228585
2025-04-19,40450.310268,21830.642338,53.571958,114.536845,21945.179183,7616.647026,26429.776923,4453.224069,4636.081321,8550.000000,509.320028,152.475011
2025-04-20,59039.950924,35231.478024,982.041551,4360.334642,39591.812667,0.000000,4251.463080,4457.569736,8550.000000,8550.000000,145.505930,133.182409
2025-04-21,59017.763620,35122.100057,395.832677,1062.208498,36184.308554,0.000000,7068.502238,4578.691803,8550.000000,8550.000000,188.200057,252.438337
2025-04-22,58401.383887,34813.735249,1307.471500,4490.717944,39304.453193,0.000000,3695.305769,4290.555043,8550.000000,8550.000000,148.964546,137.339111
2025-04-23,60752.575645,36201.553462,703.707160,1871.414831,38072.968293,0.000000,6130.833953,4290.555043,8550.000000,8550.000000,133.926624,192.229236
2025-04-24,54041.304103,33121.409014,54.467854,188.342316,33309.751330,0.000000,8727.478097,4492.915038,8550.000000,3588.096033,117.391124,234.457231
2025-04-25,31283.988040,16384.158757,0.000000,0.000000,16384.158757,11659.638141,26700.756392,4492.915038,3588.096033,3493.708543,263.377961,187.756410
2025-04-26,36680.666822,18675.502480,10.497701,22.436398,18697.938878,12398.169159,28358.871016,4492.915038,3493.708543,8550.000000,222.116767,282.060973
2025-04-27,57265.493131,34187.596499,579.250385,2374.428040,36562.024539,0.000000,5466.471655,4363.450739,8550.000000,8550.000000,126.721613,113.876940
2025-04-28,56622.062336,33903.452636,6331.799410,23648.514714,57551.967350,0.000000,2544.284028,4268.003731,8550.000000,8550.000000,138.550274,315.243078
2025-04-29,56673.218750,33942.665532,687.421423,2500.026391,36442.691923,0.000000,6137.385509,4268.003731,8550.000000,8550.000000,116.223711,191.081479
2025-04-30,57293.512395,34262.104059,1552.610062,4615.445686,38877.549746,0.000000,6772.321356,4287.589185,8550.000000,8550.000000,138.260573,256.758040
2025-05-01,50370.686967,31280.062327,2614.846166,12099.864649,43379.926976,0.000000,4168.241663,4287.589185,8550.000000,3183.793768,248.961418,128.000863
2025-05-02,31349.058168,16859.005590,2092.845101,8172.207475,25031.213065,14556.756578,16759.056832,4301.856405,3183.793768,2991.843453,212.886462,331.789903
2025-05-03,38025.145604,19856.329507,382.717207,1433.434229,21289.763736,13726.017537,20783.594154,4825.528740,2991.843453,8550.000000,201.638258,149.673707
2025-05-04,58917.137169,35911.006542,1863.552770,5869.054088,41780.060630,0.000000,5281.996288,5003.119403,8550.000000,8550.000000,184.646019,260.789909
2025-05-05,59153.643646,36149.765152,2647.393086,11577.745262,47727.510414,0.000000,3009.544849,5003.119403,8550.000000,8513.706661,176.244342,150.532842
2025-05-06,59888.975638,36917.680481,2145.748422,9349.999019,46267.679499,0.000000,5457.548795,5325.122039,8513.706661,8550.000000,163.017967,200.926916
2025-05-07,60656.387824,37081.112735,1276.546557,5091.234207,42172.346943,0.000000,3108.062659,5325.122039,8550.000000,8550.000000,153.812096,75.589028
2025-05-08,54839.684797,34944.807496,2610.048030,9017.351299,43962.158794,0.000000,3953.186545,5482.027588,8550.000000,3037.743468,156.602310,232.663276
2025-05-09,33191.306885,18622.200617,24.250177,83.882442,18706.083059,10672.419126,22292.365577,5724.218559,3037.743468,2896.453800,252.294063,106.649970
2025-05-10,39185.295529,21077.675960,409.596945,1765.224909,22842.900869,11788.900949,18653.347162,5757.797668,2896.453800,8550.000000,226.544830,232.327852
2025-05-11,61329.299872,37650.141162,1850.701966,7596.351840,45246.493002,0.000000,3981.770694,5757.797668,8550.000000,8550.000000,160.754503,196.432785
2025-05-12,62309.540072,38200.282633,1200.114834,3302.016375,41502.299008,0.000000,7963.968624,5959.937218,8550.000000,8550.000000,158.045637,262.336511
2025-05-13,61878.979857,38013.940257,619.954652,2292.636495,40306.576752,0.000000,5717.584331,5959.937218,8550.000000,8550.000000,155.858793,124.460884
2025-05-14,62487.066917,38327.121068,434.403518,1369.996595,39697.117662,0.000000,6268.343201,5640.415023,8550.000000,8550.000000,137.019358,155.019862
2025-05-15,55243.201142,35093.338328,787.538371,2985.160039,38078.498366,0.000000,6095.564969,5316.674174,8550.000000,2763.320042,143.280214,123.661963
2025-05-16,32723.499587,18189.115461,3.092917,6.604924,18195.720385,10780.593806,27289.667316,5361.543502,2763.320042,2933.480378,246.933632,245.985648
2025-05-17,39670.038884,21353.663399,472.466315,1929.456018,23283.119417,10648.864859,20871.917365,5361.543502,2933.480378,8550.000000,279.024101,247.711212
2025-05-18,60319.571508,36563.772401,1779.624363,5664.806422,42228.578823,0.000000,4820.470769,5490.395233,8550.000000,8550.000000,177.402653,207.833505
2025-05-19,60368.175060,36611.111377,260.880168,1325.029422,37936.140799,0.000000,9496.065314,5490.395233,8550.000000,8550.000000,163.875223,267.845291
2025-05-20,59341.105286,35870.416613,2057.092536,7798.982303,43669.398915,0.000000,3273.262386,5357.798668,8550.000000,8550.000000,142.583620,181.083002
2025-05-21,60627.609522,36677.847115,1129.951950,4381.606301,41059.453417,0.000000,6850.544133,5473.245110,8550.000000,8550.000000,135.289273,188.663415
2025-05-22,53755.746122,33690.772758,331.084617,1490.432031,35181.204789,0.000000,6026.551471,5258.829027,8550.000000,2833.257869,141.819562,109.272756
2025-05-23,31918.762446,17630.759263,0.000000,0.000000,17630.759263,9966.404394,23331.816724,5258.829027,2833.257869,2508.353047,286.837304,147.214801
2025-05-24,38480.274979,20404.642702,0.000000,0.000000,20404.642702,10397.402253,25560.690235,5259.012910,2508.353047,8550.000000,266.700995,206.568941
2025-05-25,58217.294522,35003.644823,687.400346,2993.143921,37996.788744,0.000000,6803.987956,5259.012910,8550.000000,8550.000000,189.104640,195.985949
2025-05-26,58018.384689,35005.999481,2965.224311,11031.282997,46037.282478,0.000000,2845.329591,5144.810045,8550.000000,8550.000000,128.084768,209.362625
2025-05-27,59435.374481,35690.560079,542.378812,1996.144351,37686.704430,0.000000,7059.556765,5434.810167,8550.000000,8550.000000,137.302535,154.334573
2025-05-28,59454.743202,35683.894836,1623.796309,6213.758774,41897.653610,0.000000,5228.974355,5413.287521,8550.000000,8550.000000,129.942359,221.493180
2025-05-29,52810.697392,32931.361540,1926.514357,8377.526759,41308.888299,0.000000,3539.844978,5413.287521,8550.000000,2677.859129,165.011459,164.797568
2025-05-30,31768.581150,17329.262681,77.549168,264.438238,17593.700919,9720.438475,22628.133714,5600.712788,2677.859129,2781.912387,302.003692,168.977403
2025-05-31,38489.381073,20269.699171,276.129909,752.829735,21022.528907,9188.413654,21451.522518,5600.712788,2781.912387,8550.000000,346.237134,141.673584
2025-06-01,58208.419407,34810.569507,16841.068120,67211.869256,102022.438763,0.000000,269.604013,5623.567717,8550.000000,8550.000000,468.767132,472.001502
2025-06-02,64005.655810,38549.823116,10053.401553,42613.780223,81163.603339,0.000000,1799.940645,6483.954756,8550.000000,8550.000000,361.808631,321.163770
2025-06-03,67086.959958,40646.574402,5966.764300,26713.843896,67360.418298,0.000000,1124.087751,7352.921844,8550.000000,8550.000000,294.430112,260.044977
2025-06-04,67820.108236,41041.900652,6193.832974,23775.110059,64817.010711,0.000000,587.174031,7352.921844,8550.000000,8550.000000,282.854909,282.121765
2025-06-05,65357.929435,40889.582138,4705.201719,19828.469573,60718.051711,0.000000,938.993036,8367.045166,8550.000000,3219.141825,230.678728,313.431967
2025-06-06,38160.247293,22146.902313,3265.419207,13203.478522,35350.380835,3317.329342,8148.593520,8367.045166,3219.141825,3050.874303,289.469098,529.844066
2025-06-07,44361.227687,24790.056389,1777.962651,6762.678489,31552.734878,2598.681581,6318.798210,8910.299867,3050.874303,8550.000000,208.030246,453.358175
2025-06-08,77163.908365,47281.634264,862.239709,3723.547851,51005.182115,0.000000,8633.169848,9396.623681,8550.000000,8550.000000,194.833088,183.098357
2025-06-09,77860.943778,47898.949708,1750.079000,7656.566434,55555.516142,0.000000,4438.012892,9560.514467,8550.000000,8550.000000,174.343257,210.324633
2025-06-10,76953.267812,47246.174407,2288.348135,9671.258158,56917.432565,0.000000,3457.945430,9560.514467,8550.000000,8550.000000,150.174271,282.715514
2025-06-11,80370.260867,49750.872006,3783.958950,17364.454484,67115.326490,0.000000,3772.076890,9989.241222,8550.000000,8550.000000,149.194177,358.596982
2025-06-12,74818.372953,47223.023660,1388.599417,6055.296037,53278.319697,0.000000,4316.095683,9989.241222,8550.000000,4194.358794,177.173036,237.410266
2025-06-13,45136.826629,26658.513602,371.244462,1837.852431,28496.366032,0.000000,13762.068688,10185.322898,4194.358794,4859.536160,340.922071,246.092561
2025-06-14,47451.304164,27200.737842,65.802060,141.269868,27342.007710,0.000000,14531.226605,10100.981739,4859.536160,8550.000000,284.952848,182.263825
2025-06-15,80959.818180,50279.500644,602.553248,2676.470532,52955.971176,0.000000,6570.578115,10034.282177,8550.000000,8550.000000,161.885289,171.840986
2025-06-16,81417.018660,50643.419839,1052.630959,4170.796620,54814.216460,0.000000,5407.714478,10034.282177,8550.000000,8550.000000,164.763251,185.525997
2025-06-17,82040.199056,51093.680575,1765.019670,7201.313418,58294.993993,0.000000,4778.859375,10013.259507,8550.000000,8550.000000,148.271586,256.470542
2025-06-18,82732.046561,51562.742893,409.791506,1635.922076,53198.664969,0.000000,7818.409373,10013.259507,8550.000000,8550.000000,141.098512,142.420761
2025-06-19,80142.343638,50629.076090,472.745612,2249.779516,52878.855605,0.000000,10670.247047,10011.293563,8550.000000,6100.785085,163.706361,174.204495
2025-06-20,43626.148410,25685.213118,0.000000,0.000000,25685.213118,0.000000,19582.027808,9901.933431,6100.785085,5082.802661,324.938088,119.078090
2025-06-21,46121.752866,26410.136542,12.172869,43.555481,26453.692024,0.000000,20325.068013,9902.473915,5082.802661,8550.000000,256.668344,252.303544
2025-06-22,80522.639291,49973.684281,286.266547,949.467813,50923.152094,0.000000,8993.235591,9902.473915,8550.000000,8550.000000,153.913403,187.412142
2025-06-23,80991.008414,50245.032532,306.203123,950.843127,51195.875659,0.000000,9868.164229,9720.957116,8550.000000,8550.000000,173.322429,154.388673
2025-06-24,80326.966609,49759.106805,3351.794899,14202.910012,63962.016817,0.000000,3051.270201,9720.957116,8550.000000,8550.000000,189.357740,289.249368
2025-06-25,83489.707068,52095.828763,698.985344,2386.258047,54482.086811,0.000000,9346.415707,10280.914660,8550.000000,8550.000000,148.885665,162.411969
2025-06-26,80421.619606,50597.210097,211.548849,926.324012,51523.534108,0.000000,10879.572181,10450.510454,8550.000000,6573.717305,156.036342,153.636456
2025-06-27,44031.009777,25405.825631,0.000000,0.000000,25405.825631,0.000000,21352.778410,10467.574679,6573.717305,6718.480724,321.245115,159.045084
2025-06-28,46033.490006,26189.263251,55.468392,120.911323,26310.174574,0.000000,19562.362607,10467.574679,6718.480724,8550.000000,305.216656,205.847508
2025-06-29,80829.118940,50089.842247,587.716060,2196.730213,52286.572460,0.000000,7793.934324,10437.105699,8550.000000,8550.000000,176.219960,147.448161
2025-06-30,80794.335557,50037.231399,762.161453,2867.378416,52904.609815,0.000000,7322.633510,10437.105699,8550.000000,8550.000000,182.381813,146.032205
2025-07-01,82464.939663,51223.975783,7244.837648,25510.545899,76734.521683,0.000000,6363.662921,10525.854205,8550.000000,8550.000000,758.029433,290.076494
2025-07-02,85458.209593,53426.884795,4404.850880,14885.504730,68312.389524,0.000000,12473.863261,10840.481287,8550.000000,8550.000000,578.363062,462.720618
