年份,地块,季次,作物编号,面积
2027,D5,第二季,35,10.0
2028,D5,第一季,29,10.0
2028,D5,第二季,35,10.0
2029,D5,第一季,29,10.0
2029,D5,第二季,35,10.0
2030,D5,第一季,29,10.0
2030,D5,第二季,35,10.0
2024,D6,第一季,29,12.0
2024,D6,第二季,35,12.0
2025,D6,第一季,29,12.0
2025,D6,第二季,35,12.0
2026,D6,第一季,29,12.0
2026,D6,第二季,35,12.0
2027,D6,第一季,29,12.0
2027,D6,第二季,35,12.0
2028,D6,第一季,29,12.0
2028,D6,第二季,35,12.0
2029,D6,第一季,29,12.0
2029,D6,第二季,35,12.0
2030,D6,第一季,29,12.0
2030,D6,第二季,35,12.0
2024,D7,第一季,29,22.0
2024,D7,第二季,35,22.0
2025,D7,第一季,29,22.0
2025,D7,第二季,35,22.0
2026,D7,第一季,29,22.0
2026,D7,第二季,35,22.0
2027,D7,第一季,29,22.0
2027,D7,第二季,35,22.0
2028,D7,第一季,29,22.0
2028,D7,第二季,35,22.0
2029,D7,第一季,29,22.0
2029,D7,第二季,35,22.0
2030,D7,第一季,29,22.0
2030,D7,第二季,35,22.0
2024,D8,第一季,29,20.0
2024,D8,第二季,35,20.0
2025,D8,第一季,29,20.0
2025,D8,第二季,35,20.0
2026,D8,第一季,29,20.0
2026,D8,第二季,35,20.0
2027,D8,第一季,29,20.0
2027,D8,第二季,35,20.0
2028,D8,第一季,29,20.0
2028,D8,第二季,35,20.0
2029,D8,第一季,29,20.0
2029,D8,第二季,35,20.0
2030,D8,第一季,29,20.0
2030,D8,第二季,35,20.0
2024,E1,第一季,22,0.6
2024,E1,第二季,40,0.6
2025,E1,第一季,26,0.6
2025,E1,第二季,38,0.6
2026,E1,第一季,26,0.6
2026,E1,第二季,38,0.6
2027,E1,第一季,22,0.6
2027,E1,第二季,38,0.6
2028,E1,第一季,30,0.6
2028,E1,第二季,38,0.6
2029,E1,第一季,17,0.6
2029,E1,第二季,38,0.6
2030,E1,第一季,17,0.6
2030,E1,第二季,40,0.6
2024,E2,第一季,22,0.6
2024,E2,第二季,38,0.6
2025,E2,第一季,30,0.6
2025,E2,第二季,40,0.6
2026,E2,第一季,22,0.6
2026,E2,第二季,38,0.6
2027,E2,第一季,17,0.6
2027,E2,第二季,40,0.6
2028,E2,第一季,17,0.6
2028,E2,第二季,38,0.6
2029,E2,第一季,17,0.6
2029,E2,第二季,38,0.6
2030,E2,第一季,17,0.6
2030,E2,第二季,38,0.6
2024,E3,第一季,17,0.6
2024,E3,第二季,40,0.6
2025,E3,第一季,30,0.6
2025,E3,第二季,38,0.6
2026,E3,第一季,30,0.6
2026,E3,第二季,40,0.6
2027,E3,第一季,22,0.6
2027,E3,第二季,38,0.6
2028,E3,第一季,30,0.6
2028,E3,第二季,40,0.6
2029,E3,第一季,17,0.6
2029,E3,第二季,40,0.6
2030,E3,第一季,17,0.6
2030,E3,第二季,38,0.6
2024,E4,第一季,17,0.6
2024,E4,第二季,38,0.6
2025,E4,第一季,30,0.6
2025,E4,第二季,40,0.6
2026,E4,第一季,26,0.6
2026,E4,第二季,40,0.6
2027,E4,第一季,17,0.6
2027,E4,第二季,40,0.6
2028,E4,第一季,30,0.6
2028,E4,第二季,40,0.6
2029,E4,第一季,22,0.6
2029,E4,第二季,38,0.6
2030,E4,第一季,26,0.6
2030,E4,第二季,38,0.6
2024,E5,第一季,22,0.6
2024,E5,第二季,38,0.6
2025,E5,第一季,30,0.6
2025,E5,第二季,40,0.6
2026,E5,第一季,22,0.6
2026,E5,第二季,40,0.6
2027,E5,第一季,17,0.6
2027,E5,第二季,38,0.6
2028,E5,第一季,22,0.6
2028,E5,第二季,38,0.6
2029,E5,第一季,17,0.6
2029,E5,第二季,40,0.6
2030,E5,第一季,17,0.6
2030,E5,第二季,40,0.6
2024,E6,第一季,17,0.6
2024,E6,第二季,40,0.6
2025,E6,第一季,22,0.6
2025,E6,第二季,40,0.6
2026,E6,第一季,26,0.6
2026,E6,第二季,40,0.6
2027,E6,第一季,26,0.6
2027,E6,第二季,38,0.6
2028,E6,第一季,30,0.6
2028,E6,第二季,38,0.6
2029,E6,第一季,17,0.6
2029,E6,第二季,40,0.6
2030,E6,第一季,17,0.6
2030,E6,第二季,40,0.6
2024,E7,第一季,17,0.6
2024,E7,第二季,40,0.6
2025,E7,第一季,26,0.6
2025,E7,第二季,40,0.6
2026,E7,第一季,26,0.6
2026,E7,第二季,38,0.6
2027,E7,第一季,26,0.6
2027,E7,第二季,38,0.6
2028,E7,第一季,30,0.6
2028,E7,第二季,38,0.6
2029,E7,第一季,22,0.6
2029,E7,第二季,38,0.6
2030,E7,第一季,26,0.6
2030,E7,第二季,40,0.6
2024,E8,第一季,26,0.6
2024,E8,第二季,40,0.6
2025,E8,第一季,30,0.6
2025,E8,第二季,40,0.6
2026,E8,第一季,22,0.6
2026,E8,第二季,38,0.6
2027,E8,第一季,26,0.6
2027,E8,第二季,40,0.6
2028,E8,第一季,30,0.6
2028,E8,第二季,40,0.6
2029,E8,第一季,22,0.6
2029,E8,第二季,40,0.6
2030,E8,第一季,17,0.6
2030,E8,第二季,40,0.6
2024,E9,第一季,26,0.6
2024,E9,第二季,38,0.6
2025,E9,第一季,30,0.6
2025,E9,第二季,38,0.6
2026,E9,第一季,30,0.6
2026,E9,第二季,40,0.6
2027,E9,第一季,26,0.6
2027,E9,第二季,40,0.6
2028,E9,第一季,17,0.3
2028,E9,第一季,30,0.3
2028,E9,第二季,40,0.6
2029,E9,第一季,26,0.6
2029,E9,第二季,40,0.6
2030,E9,第一季,17,0.6
2030,E9,第二季,38,0.6
2024,E10,第一季,17,0.6
2024,E10,第二季,40,0.6
2025,E10,第一季,26,0.6
2025,E10,第二季,40,0.6
2026,E10,第一季,26,0.6
2026,E10,第二季,38,0.6
2027,E10,第一季,26,0.6
2027,E10,第二季,40,0.6
2028,E10,第二季,38,0.6
2029,E10,第一季,26,0.6
2029,E10,第二季,38,0.6
2030,E10,第一季,22,0.6
2030,E10,第二季,38,0.6
2024,E11,第一季,17,0.6
2024,E11,第二季,38,0.6
2025,E11,第一季,26,0.6
2025,E11,第二季,38,0.6
2026,E11,第一季,26,0.6
2026,E11,第二季,38,0.6
2027,E11,第一季,17,0.6
2027,E11,第二季,40,0.6
2028,E11,第一季,17,0.6
2028,E11,第二季,40,0.6
2029,E11,第一季,17,0.6
2029,E11,第二季,40,0.6
2030,E11,第一季,17,0.6
2030,E11,第二季,40,0.6
2024,E12,第一季,22,0.6
2024,E12,第二季,40,0.6
2025,E12,第一季,22,0.6
2025,E12,第二季,38,0.6
2026,E12,第一季,30,0.6
2026,E12,第二季,38,0.6
2027,E12,第一季,26,0.6
2027,E12,第二季,40,0.6
2028,E12,第一季,17,0.6
2028,E12,第二季,38,0.6
2029,E12,第一季,26,0.6
2029,E12,第二季,40,0.6
2030,E12,第一季,22,0.6
2030,E12,第二季,38,0.6
2024,E13,第一季,17,0.6
2024,E13,第二季,38,0.6
2025,E13,第一季,22,0.6
2025,E13,第二季,38,0.6
2026,E13,第一季,26,0.6
2026,E13,第二季,40,0.6
2027,E13,第一季,22,0.6
2027,E13,第二季,38,0.6
2028,E13,第一季,30,0.6
2028,E13,第二季,40,0.6
2029,E13,第一季,17,0.6
2029,E13,第二季,38,0.6
2030,E13,第一季,22,0.6
2030,E13,第二季,38,0.6
2024,E14,第一季,17,0.6
2024,E14,第二季,38,0.6
2025,E14,第一季,30,0.6
2025,E14,第二季,38,0.6
2026,E14,第一季,30,0.6
2026,E14,第二季,40,0.6
2027,E14,第一季,22,0.6
2027,E14,第二季,38,0.6
2028,E14,第一季,22,0.6
2028,E14,第二季,40,0.6
2029,E14,第一季,26,0.6
2029,E14,第二季,38,0.6
2030,E14,第一季,22,0.6
2030,E14,第二季,40,0.6
2024,E15,第一季,22,0.6
2024,E15,第二季,40,0.6
2025,E15,第一季,30,0.6
2025,E15,第二季,40,0.6
2026,E15,第一季,26,0.6
2026,E15,第二季,38,0.6
2027,E15,第一季,26,0.6
2027,E15,第二季,38,0.6
2028,E15,第一季,22,0.6
2028,E15,第二季,38,0.6
2029,E15,第一季,22,0.6
2029,E15,第二季,38,0.6
2030,E15,第一季,26,0.6
2030,E15,第二季,40,0.6
2024,E16,第一季,26,0.6
2024,E16,第二季,38,0.6
2025,E16,第一季,26,0.6
2025,E16,第二季,38,0.6
2026,E16,第一季,22,0.6
2026,E16,第二季,40,0.6
2027,E16,第一季,26,0.6
2027,E16,第二季,40,0.6
2028,E16,第一季,17,0.6
2028,E16,第二季,40,0.6
2029,E16,第一季,17,0.6
2029,E16,第二季,40,0.6
2030,E16,第一季,26,0.6
2030,E16,第二季,38,0.6
2024,F1,第一季,22,0.6
2024,F1,第二季,29,0.6
2025,F1,第一季,22,0.6
2025,F1,第二季,29,0.6
2026,F1,第一季,22,0.6
2026,F1,第二季,29,0.6
2027,F1,第一季,22,0.6
2027,F1,第二季,29,0.6
2028,F1,第一季,22,0.6
2028,F1,第二季,29,0.6
2029,F1,第一季,22,0.6
2029,F1,第二季,29,0.6
2030,F1,第一季,22,0.6
2030,F1,第二季,29,0.6
2024,F2,第一季,26,0.3
2024,F2,第一季,34,0.3
2024,F2,第二季,29,0.6
2025,F2,第一季,22,0.6
2025,F2,第二季,29,0.6
2026,F2,第一季,22,0.6
2026,F2,第二季,29,0.6
2027,F2,第一季,22,0.6
2027,F2,第二季,29,0.6
2028,F2,第一季,22,0.6
2028,F2,第二季,29,0.6
2029,F2,第一季,22,0.6
2029,F2,第二季,29,0.6
2030,F2,第一季,22,0.6
2030,F2,第二季,29,0.6
2024,F3,第一季,22,0.6
2024,F3,第二季,29,0.6
2025,F3,第一季,22,0.6
2025,F3,第二季,29,0.6
2026,F3,第一季,22,0.6
2026,F3,第二季,29,0.6
2027,F3,第一季,22,0.6
2027,F3,第二季,29,0.6
2028,F3,第一季,22,0.6
2028,F3,第二季,29,0.6
2029,F3,第一季,22,0.6
2029,F3,第二季,29,0.6
2030,F3,第一季,22,0.6
2030,F3,第二季,29,0.6
2024,F4,第一季,22,0.6
2024,F4,第二季,29,0.6
2025,F4,第一季,22,0.6
2025,F4,第二季,29,0.6
2026,F4,第一季,22,0.6
2026,F4,第二季,29,0.6
2027,F4,第一季,22,0.6
2027,F4,第二季,29,0.6
2028,F4,第一季,22,0.6
2028,F4,第二季,29,0.6
2029,F4,第一季,22,0.6
2029,F4,第二季,29,0.6
2030,F4,第一季,22,0.6
2030,F4,第二季,29,0.6
