时间s,最坏视线距离m,是否被遮
5.272,22.0291,0
5.273,22.0248,0
5.274,22.0205,0
5.275,22.0162,0
5.276,22.0119,0
5.277,22.0076,0
5.278,22.0033,0
5.279,21.9991,0
5.280,21.9948,0
5.281,21.9905,0
5.282,21.9862,0
5.283,21.9819,0
5.284,21.9776,0
5.285,21.9733,0
5.286,21.9690,0
5.287,21.9648,0
5.288,21.9605,0
5.289,21.9562,0
5.290,21.9519,0
5.291,21.9476,0
5.292,21.9433,0
5.293,21.9390,0
5.294,21.9347,0
5.295,21.9304,0
5.296,21.9262,0
5.297,21.9219,0
5.298,21.9176,0
5.299,21.9133,0
5.300,21.9090,0
5.301,21.9047,0
5.302,21.9004,0
5.303,21.8961,0
5.304,21.8918,0
5.305,21.8876,0
5.306,21.8833,0
5.307,21.8790,0
5.308,21.8747,0
5.309,21.8704,0
5.310,21.8661,0
5.311,21.8618,0
5.312,21.8575,0
5.313,21.8532,0
5.314,21.8490,0
5.315,21.8447,0
5.316,21.8404,0
5.317,21.8361,0
5.318,21.8318,0
5.319,21.8275,0
5.320,21.8232,0
5.321,21.8189,0
5.322,21.8146,0
5.323,21.8103,0
5.324,21.8061,0
5.325,21.8018,0
5.326,21.7975,0
5.327,21.7932,0
5.328,21.7889,0
5.329,21.7846,0
5.330,21.7803,0
5.331,21.7760,0
5.332,21.7717,0
5.333,21.7674,0
5.334,21.7631,0
5.335,21.7589,0
5.336,21.7546,0
5.337,21.7503,0
5.338,21.7460,0
5.339,21.7417,0
5.340,21.7374,0
5.341,21.7331,0
5.342,21.7288,0
5.343,21.7245,0
5.344,21.7202,0
5.345,21.7159,0
5.346,21.7117,0
5.347,21.7074,0
5.348,21.7031,0
5.349,21.6988,0
5.350,21.6945,0
5.351,21.6902,0
5.352,21.6859,0
5.353,21.6816,0
5.354,21.6773,0
5.355,21.6730,0
5.356,21.6687,0
5.357,21.6644,0
5.358,21.6602,0
5.359,21.6559,0
5.360,21.6516,0
5.361,21.6473,0
5.362,21.6430,0
5.363,21.6387,0
5.364,21.6344,0
5.365,21.6301,0
5.366,21.6258,0
5.367,21.6215,0
5.368,21.6172,0
5.369,21.6129,0
5.370,21.6086,0
5.371,21.6044,0
5.372,21.6001,0
5.373,21.5958,0
5.374,21.5915,0
5.375,21.5872,0
5.376,21.5829,0
5.377,21.5786,0
5.378,21.5743,0
5.379,21.5700,0
5.380,21.5657,0
5.381,21.5614,0
5.382,21.5571,0
5.383,21.5528,0
5.384,21.5485,0
5.385,21.5443,0
5.386,21.5400,0
5.387,21.5357,0
5.388,21.5314,0
5.389,21.5271,0
5.390,21.5228,0
5.391,21.5185,0
5.392,21.5142,0
5.393,21.5099,0
5.394,21.5056,0
5.395,21.5013,0
5.396,21.4970,0
5.397,21.4927,0
5.398,21.4884,0
5.399,21.4841,0
5.400,21.4798,0
5.401,21.4756,0
5.402,21.4713,0
5.403,21.4670,0
5.404,21.4627,0
5.405,21.4584,0
5.406,21.4541,0
5.407,21.4498,0
5.408,21.4455,0
5.409,21.4412,0
5.410,21.4369,0
5.411,21.4326,0
5.412,21.4283,0
5.413,21.4240,0
5.414,21.4197,0
5.415,21.4154,0
5.416,21.4111,0
5.417,21.4068,0
5.418,21.4025,0
5.419,21.3983,0
5.420,21.3940,0
5.421,21.3897,0
5.422,21.3854,0
5.423,21.3811,0
5.424,21.3768,0
5.425,21.3725,0
5.426,21.3682,0
5.427,21.3639,0
5.428,21.3596,0
5.429,21.3553,0
5.430,21.3510,0
5.431,21.3467,0
5.432,21.3424,0
5.433,21.3381,0
5.434,21.3338,0
5.435,21.3295,0
5.436,21.3252,0
5.437,21.3209,0
5.438,21.3166,0
5.439,21.3123,0
5.440,21.3080,0
5.441,21.3038,0
5.442,21.2995,0
5.443,21.2952,0
5.444,21.2909,0
5.445,21.2866,0
5.446,21.2823,0
5.447,21.2780,0
5.448,21.2737,0
5.449,21.2694,0
5.450,21.2651,0
5.451,21.2608,0
5.452,21.2565,0
5.453,21.2522,0
5.454,21.2479,0
5.455,21.2436,0
5.456,21.2393,0
5.457,21.2350,0
5.458,21.2307,0
5.459,21.2264,0
5.460,21.2221,0
5.461,21.2178,0
5.462,21.2135,0
5.463,21.2092,0
5.464,21.2049,0
5.465,21.2006,0
5.466,21.1963,0
5.467,21.1920,0
5.468,21.1877,0
5.469,21.1834,0
5.470,21.1791,0
5.471,21.1749,0
5.472,21.1706,0
5.473,21.1663,0
5.474,21.1620,0
5.475,21.1577,0
5.476,21.1534,0
5.477,21.1491,0
5.478,21.1448,0
5.479,21.1405,0
5.480,21.1362,0
5.481,21.1319,0
5.482,21.1276,0
5.483,21.1233,0
5.484,21.1190,0
5.485,21.1147,0
5.486,21.1104,0
5.487,21.1061,0
5.488,21.1018,0
5.489,21.0975,0
5.490,21.0932,0
5.491,21.0889,0
5.492,21.0846,0
5.493,21.0803,0
5.494,21.0760,0
5.495,21.0717,0
5.496,21.0674,0
5.497,21.0631,0
5.498,21.0588,0
5.499,21.0545,0
5.500,21.0502,0
5.501,21.0459,0
5.502,21.0416,0
5.503,21.0373,0
5.504,21.0330,0
5.505,21.0287,0
5.506,21.0244,0
5.507,21.0201,0
5.508,21.0158,0
5.509,21.0115,0
5.510,21.0072,0
5.511,21.0029,0
5.512,20.9986,0
5.513,20.9943,0
5.514,20.9900,0
5.515,20.9857,0
5.516,20.9814,0
5.517,20.9771,0
5.518,20.9728,0
5.519,20.9685,0
5.520,20.9642,0
5.521,20.9599,0
5.522,20.9556,0
5.523,20.9513,0
5.524,20.9470,0
5.525,20.9427,0
5.526,20.9384,0
5.527,20.9341,0
5.528,20.9298,0
5.529,20.9255,0
5.530,20.9212,0
5.531,20.9169,0
5.532,20.9126,0
5.533,20.9083,0
5.534,20.9040,0
5.535,20.8997,0
5.536,20.8954,0
5.537,20.8911,0
5.538,20.8868,0
5.539,20.8825,0
5.540,20.8782,0
5.541,20.8739,0
5.542,20.8696,0
5.543,20.8653,0
5.544,20.8610,0
5.545,20.8567,0
5.546,20.8524,0
5.547,20.8481,0
5.548,20.8438,0
5.549,20.8395,0
5.550,20.8352,0
5.551,20.8309,0
5.552,20.8266,0
5.553,20.8223,0
5.554,20.8180,0
5.555,20.8137,0
5.556,20.8094,0
5.557,20.8051,0
5.558,20.8008,0
5.559,20.7965,0
5.560,20.7922,0
5.561,20.7879,0
5.562,20.7836,0
5.563,20.7793,0
5.564,20.7750,0
5.565,20.7707,0
5.566,20.7664,0
5.567,20.7621,0
5.568,20.7578,0
5.569,20.7535,0
5.570,20.7492,0
5.571,20.7449,0
5.572,20.7406,0
5.573,20.7363,0
5.574,20.7320,0
5.575,20.7277,0
5.576,20.7234,0
5.577,20.7191,0
5.578,20.7148,0
5.579,20.7104,0
5.580,20.7061,0
5.581,20.7018,0
5.582,20.6975,0
5.583,20.6932,0
5.584,20.6889,0
5.585,20.6846,0
5.586,20.6803,0
5.587,20.6760,0
5.588,20.6717,0
5.589,20.6674,0
5.590,20.6631,0
5.591,20.6588,0
5.592,20.6545,0
5.593,20.6502,0
5.594,20.6459,0
5.595,20.6416,0
5.596,20.6373,0
5.597,20.6330,0
5.598,20.6287,0
5.599,20.6244,0
5.600,20.6201,0
5.601,20.6158,0
5.602,20.6115,0
5.603,20.6072,0
5.604,20.6029,0
5.605,20.5986,0
5.606,20.5943,0
5.607,20.5900,0
5.608,20.5857,0
5.609,20.5813,0
5.610,20.5770,0
5.611,20.5727,0
5.612,20.5684,0
5.613,20.5641,0
5.614,20.5598,0
5.615,20.5555,0
5.616,20.5512,0
5.617,20.5469,0
5.618,20.5426,0
5.619,20.5383,0
5.620,20.5340,0
5.621,20.5297,0
5.622,20.5254,0
5.623,20.5211,0
5.624,20.5168,0
5.625,20.5125,0
5.626,20.5082,0
5.627,20.5039,0
5.628,20.4996,0
5.629,20.4953,0
5.630,20.4910,0
5.631,20.4867,0
5.632,20.4823,0
5.633,20.4780,0
5.634,20.4737,0
5.635,20.4694,0
5.636,20.4651,0
5.637,20.4608,0
5.638,20.4565,0
5.639,20.4522,0
5.640,20.4479,0
5.641,20.4436,0
5.642,20.4393,0
5.643,20.4350,0
5.644,20.4307,0
5.645,20.4264,0
5.646,20.4221,0
5.647,20.4178,0
5.648,20.4135,0
5.649,20.4092,0
5.650,20.4048,0
5.651,20.4005,0
5.652,20.3962,0
5.653,20.3919,0
5.654,20.3876,0
5.655,20.3833,0
5.656,20.3790,0
5.657,20.3747,0
5.658,20.3704,0
5.659,20.3661,0
5.660,20.3618,0
5.661,20.3575,0
5.662,20.3532,0
5.663,20.3489,0
5.664,20.3446,0
5.665,20.3403,0
5.666,20.3359,0
5.667,20.3316,0
5.668,20.3273,0
5.669,20.3230,0
5.670,20.3187,0
5.671,20.3144,0
5.672,20.3101,0
5.673,20.3058,0
5.674,20.3015,0
5.675,20.2972,0
5.676,20.2929,0
5.677,20.2886,0
5.678,20.2843,0
5.679,20.2800,0
5.680,20.2757,0
5.681,20.2713,0
5.682,20.2670,0
5.683,20.2627,0
5.684,20.2584,0
5.685,20.2541,0
5.686,20.2498,0
5.687,20.2455,0
5.688,20.2412,0
5.689,20.2369,0
5.690,20.2326,0
5.691,20.2283,0
5.692,20.2240,0
5.693,20.2197,0
5.694,20.2153,0
5.695,20.2110,0
5.696,20.2067,0
5.697,20.2024,0
5.698,20.1981,0
5.699,20.1938,0
5.700,20.1895,0
5.701,20.1852,0
5.702,20.1809,0
5.703,20.1766,0
5.704,20.1723,0
5.705,20.1680,0
5.706,20.1637,0
5.707,20.1593,0
5.708,20.1550,0
5.709,20.1507,0
5.710,20.1464,0
5.711,20.1421,0
5.712,20.1378,0
5.713,20.1335,0
5.714,20.1292,0
5.715,20.1249,0
5.716,20.1206,0
5.717,20.1163,0
5.718,20.1119,0
5.719,20.1076,0
5.720,20.1033,0
5.721,20.0990,0
5.722,20.0947,0
5.723,20.0904,0
5.724,20.0861,0
5.725,20.0818,0
5.726,20.0775,0
5.727,20.0732,0
5.728,20.0689,0
5.729,20.0645,0
5.730,20.0602,0
5.731,20.0559,0
5.732,20.0516,0
5.733,20.0473,0
5.734,20.0430,0
5.735,20.0387,0
5.736,20.0344,0
5.737,20.0301,0
5.738,20.0258,0
5.739,20.0214,0
5.740,20.0171,0
5.741,20.0128,0
5.742,20.0085,0
5.743,20.0042,0
5.744,19.9999,0
5.745,19.9956,0
5.746,19.9913,0
5.747,19.9870,0
5.748,19.9827,0
5.749,19.9783,0
5.750,19.9740,0
5.751,19.9697,0
5.752,19.9654,0
5.753,19.9611,0
5.754,19.9568,0
5.755,19.9525,0
5.756,19.9482,0
5.757,19.9439,0
5.758,19.9396,0
5.759,19.9352,0
5.760,19.9309,0
5.761,19.9266,0
5.762,19.9223,0
5.763,19.9180,0
5.764,19.9137,0
5.765,19.9094,0
5.766,19.9051,0
5.767,19.9008,0
5.768,19.8964,0
5.769,19.8921,0
5.770,19.8878,0
5.771,19.8835,0
5.772,19.8792,0
5.773,19.8749,0
5.774,19.8706,0
5.775,19.8663,0
5.776,19.8620,0
5.777,19.8576,0
5.778,19.8533,0
5.779,19.8490,0
5.780,19.8447,0
5.781,19.8404,0
5.782,19.8361,0
5.783,19.8318,0
5.784,19.8275,0
5.785,19.8232,0
5.786,19.8188,0
5.787,19.8145,0
5.788,19.8102,0
5.789,19.8059,0
5.790,19.8016,0
5.791,19.7973,0
5.792,19.7930,0
5.793,19.7887,0
5.794,19.7843,0
5.795,19.7800,0
5.796,19.7757,0
5.797,19.7714,0
5.798,19.7671,0
5.799,19.7628,0
5.800,19.7585,0
5.801,19.7542,0
5.802,19.7498,0
5.803,19.7455,0
5.804,19.7412,0
5.805,19.7369,0
5.806,19.7326,0
5.807,19.7283,0
5.808,19.7240,0
5.809,19.7197,0
5.810,19.7153,0
5.811,19.7110,0
5.812,19.7067,0
5.813,19.7024,0
5.814,19.6981,0
5.815,19.6938,0
5.816,19.6895,0
5.817,19.6852,0
5.818,19.6808,0
5.819,19.6765,0
5.820,19.6722,0
5.821,19.6679,0
5.822,19.6636,0
5.823,19.6593,0
5.824,19.6550,0
5.825,19.6506,0
5.826,19.6463,0
5.827,19.6420,0
5.828,19.6377,0
5.829,19.6334,0
5.830,19.6291,0
5.831,19.6248,0
5.832,19.6204,0
5.833,19.6161,0
5.834,19.6118,0
5.835,19.6075,0
5.836,19.6032,0
5.837,19.5989,0
5.838,19.5946,0
5.839,19.5902,0
5.840,19.5859,0
5.841,19.5816,0
5.842,19.5773,0
5.843,19.5730,0
5.844,19.5687,0
5.845,19.5644,0
5.846,19.5600,0
5.847,19.5557,0
5.848,19.5514,0
5.849,19.5471,0
5.850,19.5428,0
5.851,19.5385,0
5.852,19.5342,0
5.853,19.5298,0
5.854,19.5255,0
5.855,19.5212,0
5.856,19.5169,0
5.857,19.5126,0
5.858,19.5083,0
5.859,19.5040,0
5.860,19.4996,0
5.861,19.4953,0
5.862,19.4910,0
5.863,19.4867,0
5.864,19.4824,0
5.865,19.4781,0
5.866,19.4738,0
5.867,19.4694,0
5.868,19.4651,0
5.869,19.4608,0
5.870,19.4565,0
5.871,19.4522,0
5.872,19.4479,0
5.873,19.4435,0
5.874,19.4392,0
5.875,19.4349,0
5.876,19.4306,0
5.877,19.4263,0
5.878,19.4220,0
5.879,19.4176,0
5.880,19.4133,0
5.881,19.4090,0
5.882,19.4047,0
5.883,19.4004,0
5.884,19.3961,0
5.885,19.3918,0
5.886,19.3874,0
5.887,19.3831,0
5.888,19.3788,0
5.889,19.3745,0
5.890,19.3702,0
5.891,19.3659,0
5.892,19.3615,0
5.893,19.3572,0
5.894,19.3529,0
5.895,19.3486,0
5.896,19.3443,0
5.897,19.3400,0
5.898,19.3356,0
5.899,19.3313,0
5.900,19.3270,0
5.901,19.3227,0
5.902,19.3184,0
5.903,19.3141,0
5.904,19.3097,0
5.905,19.3054,0
5.906,19.3011,0
5.907,19.2968,0
5.908,19.2925,0
5.909,19.2882,0
5.910,19.2838,0
5.911,19.2795,0
5.912,19.2752,0
5.913,19.2709,0
5.914,19.2666,0
5.915,19.2623,0
5.916,19.2579,0
5.917,19.2536,0
5.918,19.2493,0
5.919,19.2450,0
5.920,19.2407,0
5.921,19.2363,0
5.922,19.2320,0
5.923,19.2277,0
5.924,19.2234,0
5.925,19.2191,0
5.926,19.2148,0
5.927,19.2104,0
5.928,19.2061,0
5.929,19.2018,0
5.930,19.1975,0
5.931,19.1932,0
5.932,19.1889,0
5.933,19.1845,0
5.934,19.1802,0
5.935,19.1759,0
5.936,19.1716,0
5.937,19.1673,0
5.938,19.1629,0
5.939,19.1586,0
5.940,19.1543,0
5.941,19.1500,0
5.942,19.1457,0
5.943,19.1414,0
5.944,19.1370,0
5.945,19.1327,0
5.946,19.1284,0
5.947,19.1241,0
5.948,19.1198,0
5.949,19.1154,0
5.950,19.1111,0
5.951,19.1068,0
5.952,19.1025,0
5.953,19.0982,0
5.954,19.0938,0
5.955,19.0895,0
5.956,19.0852,0
5.957,19.0809,0
5.958,19.0766,0
5.959,19.0723,0
5.960,19.0679,0
5.961,19.0636,0
5.962,19.0593,0
5.963,19.0550,0
5.964,19.0507,0
5.965,19.0463,0
5.966,19.0420,0
5.967,19.0377,0
5.968,19.0334,0
5.969,19.0291,0
5.970,19.0247,0
5.971,19.0204,0
5.972,19.0161,0
5.973,19.0118,0
5.974,19.0075,0
5.975,19.0031,0
5.976,18.9988,0
5.977,18.9945,0
5.978,18.9902,0
5.979,18.9859,0
5.980,18.9815,0
5.981,18.9772,0
5.982,18.9729,0
5.983,18.9686,0
5.984,18.9643,0
5.985,18.9599,0
5.986,18.9556,0
5.987,18.9513,0
5.988,18.9470,0
5.989,18.9427,0
5.990,18.9383,0
5.991,18.9340,0
5.992,18.9297,0
5.993,18.9254,0
5.994,18.9211,0
5.995,18.9167,0
5.996,18.9124,0
5.997,18.9081,0
5.998,18.9038,0
5.999,18.8995,0
6.000,18.8951,0
6.001,18.8908,0
6.002,18.8865,0
6.003,18.8822,0
6.004,18.8779,0
6.005,18.8735,0
6.006,18.8692,0
6.007,18.8649,0
6.008,18.8606,0
6.009,18.8563,0
6.010,18.8519,0
6.011,18.8476,0
6.012,18.8433,0
6.013,18.8390,0
6.014,18.8346,0
6.015,18.8303,0
6.016,18.8260,0
6.017,18.8217,0
6.018,18.8174,0
6.019,18.8130,0
6.020,18.8087,0
6.021,18.8044,0
6.022,18.8001,0
6.023,18.7958,0
6.024,18.7914,0
6.025,18.7871,0
6.026,18.7828,0
6.027,18.7785,0
6.028,18.7741,0
6.029,18.7698,0
6.030,18.7655,0
6.031,18.7612,0
6.032,18.7569,0
6.033,18.7525,0
6.034,18.7482,0
6.035,18.7439,0
6.036,18.7396,0
6.037,18.7352,0
6.038,18.7309,0
6.039,18.7266,0
6.040,18.7223,0
6.041,18.7180,0
6.042,18.7136,0
6.043,18.7093,0
6.044,18.7050,0
6.045,18.7007,0
6.046,18.6963,0
6.047,18.6920,0
6.048,18.6877,0
6.049,18.6834,0
6.050,18.6791,0
6.051,18.6747,0
6.052,18.6704,0
6.053,18.6661,0
6.054,18.6618,0
6.055,18.6574,0
6.056,18.6531,0
6.057,18.6488,0
6.058,18.6445,0
6.059,18.6402,0
6.060,18.6358,0
6.061,18.6315,0
6.062,18.6272,0
6.063,18.6229,0
6.064,18.6185,0
6.065,18.6142,0
6.066,18.6099,0
6.067,18.6056,0
6.068,18.6012,0
6.069,18.5969,0
6.070,18.5926,0
6.071,18.5883,0
6.072,18.5840,0
6.073,18.5796,0
6.074,18.5753,0
6.075,18.5710,0
6.076,18.5667,0
6.077,18.5623,0
6.078,18.5580,0
6.079,18.5537,0
6.080,18.5494,0
6.081,18.5450,0
6.082,18.5407,0
6.083,18.5364,0
6.084,18.5321,0
6.085,18.5277,0
6.086,18.5234,0
6.087,18.5191,0
6.088,18.5148,0
6.089,18.5104,0
6.090,18.5061,0
6.091,18.5018,0
6.092,18.4975,0
6.093,18.4932,0
6.094,18.4888,0
6.095,18.4845,0
6.096,18.4802,0
6.097,18.4759,0
6.098,18.4715,0
6.099,18.4672,0
6.100,18.4629,0
6.101,18.4586,0
6.102,18.4542,0
6.103,18.4499,0
6.104,18.4456,0
6.105,18.4413,0
6.106,18.4369,0
6.107,18.4326,0
6.108,18.4283,0
6.109,18.4240,0
6.110,18.4196,0
6.111,18.4153,0
6.112,18.4110,0
6.113,18.4067,0
6.114,18.4023,0
6.115,18.3980,0
6.116,18.3937,0
6.117,18.3894,0
6.118,18.3850,0
6.119,18.3807,0
6.120,18.3764,0
6.121,18.3721,0
6.122,18.3677,0
6.123,18.3634,0
6.124,18.3591,0
6.125,18.3548,0
6.126,18.3504,0
6.127,18.3461,0
6.128,18.3418,0
6.129,18.3375,0
6.130,18.3331,0
6.131,18.3288,0
6.132,18.3245,0
6.133,18.3202,0
6.134,18.3158,0
6.135,18.3115,0
6.136,18.3072,0
6.137,18.3029,0
6.138,18.2985,0
6.139,18.2942,0
6.140,18.2899,0
6.141,18.2856,0
6.142,18.2812,0
6.143,18.2769,0
6.144,18.2726,0
6.145,18.2682,0
6.146,18.2639,0
6.147,18.2596,0
6.148,18.2553,0
6.149,18.2509,0
6.150,18.2466,0
6.151,18.2423,0
6.152,18.2380,0
6.153,18.2336,0
6.154,18.2293,0
6.155,18.2250,0
6.156,18.2207,0
6.157,18.2163,0
6.158,18.2120,0
6.159,18.2077,0
6.160,18.2034,0
6.161,18.1990,0
6.162,18.1947,0
6.163,18.1904,0
6.164,18.1860,0
6.165,18.1817,0
6.166,18.1774,0
6.167,18.1731,0
6.168,18.1687,0
6.169,18.1644,0
6.170,18.1601,0
6.171,18.1558,0
6.172,18.1514,0
6.173,18.1471,0
6.174,18.1428,0
6.175,18.1385,0
6.176,18.1341,0
6.177,18.1298,0
6.178,18.1255,0
6.179,18.1211,0
6.180,18.1168,0
6.181,18.1125,0
6.182,18.1082,0
6.183,18.1038,0
6.184,18.0995,0
6.185,18.0952,0
6.186,18.0909,0
6.187,18.0865,0
6.188,18.0822,0
6.189,18.0779,0
6.190,18.0735,0
6.191,18.0692,0
6.192,18.0649,0
6.193,18.0606,0
6.194,18.0562,0
6.195,18.0519,0
6.196,18.0476,0
6.197,18.0432,0
6.198,18.0389,0
6.199,18.0346,0
6.200,18.0303,0
6.201,18.0259,0
6.202,18.0216,0
6.203,18.0173,0
6.204,18.0130,0
6.205,18.0086,0
6.206,18.0043,0
6.207,18.0000,0
6.208,17.9956,0
6.209,17.9913,0
6.210,17.9870,0
6.211,17.9827,0
6.212,17.9783,0
6.213,17.9740,0
6.214,17.9697,0
6.215,17.9653,0
6.216,17.9610,0
6.217,17.9567,0
6.218,17.9524,0
6.219,17.9480,0
6.220,17.9437,0
6.221,17.9394,0
6.222,17.9350,0
6.223,17.9307,0
6.224,17.9264,0
6.225,17.9221,0
6.226,17.9177,0
6.227,17.9134,0
6.228,17.9091,0
6.229,17.9047,0
6.230,17.9004,0
6.231,17.8961,0
6.232,17.8918,0
6.233,17.8874,0
6.234,17.8831,0
6.235,17.8788,0
6.236,17.8744,0
6.237,17.8701,0
6.238,17.8658,0
6.239,17.8615,0
6.240,17.8571,0
6.241,17.8528,0
6.242,17.8485,0
6.243,17.8441,0
6.244,17.8398,0
6.245,17.8355,0
6.246,17.8311,0
6.247,17.8268,0
6.248,17.8225,0
6.249,17.8182,0
6.250,17.8138,0
6.251,17.8095,0
6.252,17.8052,0
6.253,17.8008,0
6.254,17.7965,0
6.255,17.7922,0
6.256,17.7879,0
6.257,17.7835,0
6.258,17.7792,0
6.259,17.7749,0
6.260,17.7705,0
6.261,17.7662,0
6.262,17.7619,0
6.263,17.7575,0
6.264,17.7532,0
6.265,17.7489,0
6.266,17.7446,0
6.267,17.7402,0
6.268,17.7359,0
6.269,17.7316,0
6.270,17.7272,0
6.271,17.7229,0
6.272,17.7186,0
6.273,17.7142,0
6.274,17.7099,0
6.275,17.7056,0
6.276,17.7013,0
6.277,17.6969,0
6.278,17.6926,0
6.279,17.6883,0
6.280,17.6839,0
6.281,17.6796,0
6.282,17.6753,0
6.283,17.6709,0
6.284,17.6666,0
6.285,17.6623,0
6.286,17.6579,0
6.287,17.6536,0
6.288,17.6493,0
6.289,17.6450,0
6.290,17.6406,0
6.291,17.6363,0
6.292,17.6320,0
6.293,17.6276,0
6.294,17.6233,0
6.295,17.6190,0
6.296,17.6146,0
6.297,17.6103,0
6.298,17.6060,0
6.299,17.6016,0
6.300,17.5973,0
6.301,17.5930,0
6.302,17.5887,0
6.303,17.5843,0
6.304,17.5800,0
6.305,17.5757,0
6.306,17.5713,0
6.307,17.5670,0
6.308,17.5627,0
6.309,17.5583,0
6.310,17.5540,0
6.311,17.5497,0
6.312,17.5453,0
6.313,17.5410,0
6.314,17.5367,0
6.315,17.5323,0
6.316,17.5280,0
6.317,17.5237,0
6.318,17.5193,0
6.319,17.5150,0
6.320,17.5107,0
6.321,17.5064,0
6.322,17.5020,0
6.323,17.4977,0
6.324,17.4934,0
6.325,17.4890,0
6.326,17.4847,0
6.327,17.4804,0
6.328,17.4760,0
6.329,17.4717,0
6.330,17.4674,0
6.331,17.4630,0
6.332,17.4587,0
6.333,17.4544,0
6.334,17.4500,0
6.335,17.4457,0
6.336,17.4414,0
6.337,17.4370,0
6.338,17.4327,0
6.339,17.4284,0
6.340,17.4240,0
6.341,17.4197,0
6.342,17.4154,0
6.343,17.4110,0
6.344,17.4067,0
6.345,17.4024,0
6.346,17.3981,0
6.347,17.3937,0
6.348,17.3894,0
6.349,17.3851,0
6.350,17.3807,0
6.351,17.3764,0
6.352,17.3721,0
6.353,17.3677,0
6.354,17.3634,0
6.355,17.3591,0
6.356,17.3547,0
6.357,17.3504,0
6.358,17.3461,0
6.359,17.3417,0
6.360,17.3374,0
6.361,17.3331,0
6.362,17.3287,0
6.363,17.3244,0
6.364,17.3201,0
6.365,17.3157,0
6.366,17.3114,0
6.367,17.3071,0
6.368,17.3027,0
